# JD = 2455785.70023958
Wave   Flux
4085.3931  127969.7
4086.8694  123752.5
4088.3458  119307.3
4089.8221  114614.4
4091.2984  107830.6
4092.7747  99830.21
4094.2510  91740.7
4095.7274  82361.29
4097.2037  72432.89
4098.6800  63401.73
4100.1563  56323.71
4101.6327  54294.04
4103.1090  58075.88
4104.5853  66629.35
4106.0616  77269.4
4107.5379  86799.68
4109.0143  95626.97
4110.4906  103670.3
4111.9669  110743.1
4113.4432  118084.3
4114.9196  124708.8
4116.3959  129445.6
4117.8722  133245.2
4119.3485  136435.5
4120.8248  139406.4
4122.3012  142293.6
4123.7775  143608.9
4125.2538  144487.5
4126.7301  144782.3
4128.2064  144751.1
4129.6828  145706.7
4131.1591  147289.5
4132.6354  150458.9
4134.1117  153505.7
4135.5881  155723.7
4137.0644  157186.5
4138.5407  158096.9
4140.0170  158530.8
4141.4933  157581.7
4142.9697  157049.1
4144.4460  157437.6
4145.9223  157975.2
4147.3986  158407.4
4148.8750  158610.5
4150.3513  158181.2
4151.8276  156991.8
4153.3039  157113.1
4154.7802  157292.6
4156.2566  157626.2
4157.7329  158305.8
4159.2092  159052.1
4160.6855  160114.2
4162.1619  161462.9
4163.6382  162101.5
4165.1145  161522.2
4166.5908  161624.7
4168.0671  161774.
4169.5435  160803.2
4171.0198  159985.3
4172.4961  159117.7
4173.9724  159356.7
4175.4487  160605.3
4176.9251  159906.6
4178.4014  160039.2
4179.8777  161588.1
4181.3540  162130.7
4182.8304  163073.
4184.3067  163702.1
4185.7830  163859.1
4187.2593  164468.4
4188.7356  164487.7
4190.2120  164290.8
4191.6883  165188.8
4193.1646  165721.6
4194.6409  165262.2
4196.1173  165861.2
4197.5936  165609.5
4199.0699  164637.9
4200.5462  165174.5
4202.0225  165813.
4203.4989  166631.9
4204.9752  167559.1
4206.4515  167840.5
4207.9278  168212.8
4209.4042  168511.9
4210.8805  168683.2
4212.3568  168923.6
4213.8331  168182.3
4215.3094  166909.6
4216.7858  167498.8
4218.2621  168407.8
4219.7384  169773.4
4221.2147  168941.
4222.6911  167008.2
4224.1674  165833.3
4225.6437  164609.2
4227.1200  165414.3
4228.5963  167673.4
4230.0727  168249.5
4231.5490  167834.
4233.0253  166440.6
4234.5016  166595.6
4235.9779  167851.1
4237.4543  168000.3
4238.9306  168909.5
4240.4069  168984.7
4241.8832  169115.4
4243.3596  169356.9
4244.8359  169646.1
4246.3122  169368.
4247.7885  168602.4
4249.2648  168851.8
4250.7412  169120.2
4252.2175  168636.2
4253.6938  167908.
4255.1701  168043.7
4256.6465  166696.
4258.1228  165907.3
4259.5991  165522.2
4261.0754  165332.2
4262.5517  166724.
4264.0281  167743.3
4265.5044  168465.8
4266.9807  168725.3
4268.4570  168436.8
4269.9334  167690.3
4271.4097  167500.6
4272.8860  167542.1
4274.3623  168351.6
4275.8386  170027.4
4277.3150  171075.5
4278.7913  171396.1
4280.2676  171166.5
4281.7439  171284.
4283.2202  170382.5
4284.6966  170824.3
4286.1729  170300.4
4287.6492  168963.7
4289.1255  168057.4
4290.6019  167945.1
4292.0782  169077.9
4293.5545  169387.8
4295.0308  169027.2
4296.5071  168431.
4297.9835  165864.9
4299.4598  163891.8
4300.9361  163355.3
4302.4124  163642.4
4303.8888  164201.2
4305.3651  164373.6
4306.8414  163951.8
4308.3177  163433.6
4309.7940  163388.9
4311.2704  162425.9
4312.7467  160288.2
4314.2230  158491.6
4315.6993  158097.3
4317.1757  157493.3
4318.6520  155854.3
4320.1283  153171.
4321.6046  150492.5
4323.0809  146555.3
4324.5573  141727.6
4326.0336  137175.
4327.5099  132578.3
4328.9862  126725.6
4330.4625  120691.7
4331.9389  112720.7
4333.4152  103538.3
4334.8915  94064.7
4336.3678  83280.72
4337.8442  73557.38
4339.3205  66615.96
4340.7968  65186.51
4342.2731  70791.73
4343.7494  80683.66
4345.2258  91944.3
4346.7021  102578.6
4348.1784  110954.7
4349.6547  118327.2
4351.1311  125532.
4352.6074  132001.2
4354.0837  138276.8
4355.5600  144932.6
4357.0363  149625.4
4358.5127  152909.6
4359.9890  156762.8
4361.4653  159441.8
4362.9416  161629.6
4364.4180  163610.9
4365.8943  164981.
4367.3706  166218.9
4368.8469  166805.5
4370.3232  168668.5
4371.7996  169752.7
4373.2759  170342.5
4374.7522  171255.2
4376.2285  172464.1
4377.7048  174001.5
4379.1812  174185.5
4380.6575  173847.8
4382.1338  172024.2
4383.6101  169549.8
4385.0865  168873.2
4386.5628  170711.6
4388.0391  172497.
4389.5154  173104.5
4390.9917  174181.2
4392.4681  174649.
4393.9444  174488.2
4395.4207  175120.4
4396.8970  176168.1
4398.3734  176699.4
4399.8497  177012.8
4401.3260  177009.3
4402.8023  176890.7
4404.2786  176688.6
4405.7550  176787.
4407.2313  177856.4
4408.7076  178774.6
4410.1839  179129.9
4411.6603  179121.1
4413.1366  178321.8
4414.6129  177352.2
4416.0892  176151.4
4417.5655  176186.3
4419.0419  177372.9
4420.5182  178108.3
4421.9945  178737.6
4423.4708  178823.5
4424.9471  178514.2
4426.4235  178605.2
4427.8998  177838.5
4429.3761  177097.4
4430.8524  177422.2
4432.3288  177882.8
4433.8051  177537.8
4435.2814  177916.1
4436.7577  178444.7
4438.2340  179393.6
4439.7104  179150.3
4441.1867  178351.1
4442.6630  177168.5
4444.1393  176940.4
4445.6157  178032.7
4447.0920  179124.8
4448.5683  180611.1
4450.0446  180200.1
4451.5209  179957.4
4452.9973  179714.1
4454.4736  179802.1
4455.9499  180573.
4457.4262  180740.7
4458.9026  180864.1
4460.3789  181339.1
4461.8552  181485.
4463.3315  181679.1
4464.8078  181681.
4466.2842  181077.8
4467.7605  179759.9
4469.2368  178456.3
4470.7131  178501.3
4472.1894  179262.9
4473.6658  180083.7
4475.1421  181321.8
4476.6184  180729.9
4478.0947  177963.8
4479.5711  173712.5
4481.0474  170508.6
4482.5237  172250.
4484.0000  176782.
4485.4763  180151.3
4486.9527  182363.1
4488.4290  181627.2
4489.9053  180662.1
4491.3816  181576.4
4492.8580  182343.6
4494.3343  182603.1
4495.8106  183737.
4497.2869  184724.8
4498.7632  183698.4
4500.2396  182321.4
4501.7159  182364.1
4503.1922  183314.2
4504.6685  184193.3
4506.1449  183411.6
4507.6212  182941.9
4509.0975  183651.9
4510.5738  183655.4
4512.0501  183836.3
4513.5265  183849.8
4515.0028  182884.9
4516.4791  182782.8
4517.9554  183455.7
4519.4318  182778.7
4520.9081  181969.7
4522.3844  180965.4
4523.8607  181221.5
4525.3370  182632.8
4526.8134  182741.7
4528.2897  182471.6
4529.7660  182778.
4531.2423  182501.5
4532.7186  181603.
4534.1950  181161.
4535.6713  182152.5
4537.1476  183568.4
4538.6239  183784.8
4540.1003  183350.6
4541.5766  183405.1
4543.0529  183758.8
4544.5292  183545.
4546.0055  182037.2
4547.4819  179668.2
4548.9582  177661.4
4550.4345  177822.8
4551.9108  178462.7
4553.3872  178942.9
4554.8635  178891.7
4556.3398  178677.5
4557.8161  179404.8
4559.2924  181185.6
4560.7688  181895.1
4562.2451  181433.4
4563.7214  181355.8
4565.1977  180975.
4566.6741  182214.6
4568.1504  183315.3
4569.6267  183349.8
4571.1030  182255.5
4572.5793  182236.
4574.0557  182490.6
4575.5320  182951.5
4577.0083  183255.3
4578.4846  183052.7
4579.9609  182228.6
4581.4373  181577.4
4582.9136  180498.2
4584.3899  180097.6
4585.8662  180723.3
4587.3426  181670.2
4588.8189  182089.4
4590.2952  182131.5
4591.7715  182529.9
4593.2478  183352.
4594.7242  184337.2
4596.2005  184558.9
4597.6768  184642.1
4599.1531  184625.3
4600.6295  185228.5
4602.1058  185285.5
4603.5821  185700.9
4605.0584  186158.5
4606.5347  186059.9
4608.0111  185920.9
4609.4874  185573.8
4610.9637  186545.2
4612.4400  185950.8
4613.9164  185423.8
4615.3927  184571.8
4616.8690  183279.4
4618.3453  182461.
4619.8216  183022.5
4621.2980  183604.4
4622.7743  184750.3
4624.2506  184964.7
4625.7269  185403.5
4627.2032  184375.3
4628.6796  183249.1
4630.1559  183478.1
4631.6322  182959.9
4633.1085  182382.3
4634.5849  181461.8
4636.0612  182394.
4637.5375  183556.4
4639.0138  184764.2
4640.4901  185653.8
4641.9665  186044.1
4643.4428  185828.9
4644.9191  185408.6
4646.3954  185477.7
4647.8718  185650.1
4649.3481  185742.7
4650.8244  185589.4
4652.3007  186209.2
4653.7770  185481.8
4655.2534  185566.6
4656.7297  185649.5
4658.2060  185899.1
4659.6823  186697.1
4661.1587  186530.8
4662.6350  184901.2
4664.1113  183362.9
4665.5876  182583.5
4667.0639  182162.7
4668.5403  182719.5
4670.0166  183062.3
4671.4929  183459.1
4672.9692  184649.
4674.4455  184405.5
4675.9219  184640.3
4677.3982  185158.3
4678.8745  184635.4
4680.3508  184769.5
4681.8272  185439.9
4683.3035  185811.7
4684.7798  185849.4
4686.2561  185696.2
4687.7324  186197.2
4689.2088  186447.3
4690.6851  185976.2
4692.1614  186033.9
4693.6377  186067.8
4695.1141  186323.
4696.5904  186502.1
4698.0667  185110.9
4699.5430  183965.2
4701.0193  183956.5
4702.4957  183936.
4703.9720  183294.
4705.4483  184020.1
4706.9246  185049.5
4708.4010  184777.8
4709.8773  184341.3
4711.3536  184772.3
4712.8299  184888.3
4714.3062  184225.6
4715.7826  184204.3
4717.2589  184896.7
4718.7352  184691.7
4720.2115  184759.8
4721.6878  185070.8
4723.1642  184344.1
4724.6405  183949.1
4726.1168  184476.6
4727.5931  183834.6
4729.0695  182710.3
4730.5458  182682.2
4732.0221  182864.3
4733.4984  182728.7
4734.9747  182647.6
4736.4511  182837.3
4737.9274  182562.2
4739.4037  182380.3
4740.8800  182257.5
4742.3564  181981.
4743.8327  181849.
4745.3090  182042.9
4746.7853  181958.4
4748.2616  181678.8
4749.7380  181835.8
4751.2143  181734.3
4752.6906  181650.4
4754.1669  181240.9
4755.6433  180908.8
4757.1196  181503.9
4758.5959  181238.8
4760.0722  180795.
4761.5485  180296.8
4763.0249  179354.9
4764.5012  179441.9
4765.9775  179961.1
4767.4538  180030.
4768.9302  180347.6
4770.4065  180501.1
4771.8828  180138.8
4773.3591  180204.
4774.8354  180561.9
4776.3118  180651.2
4777.7881  181007.6
4779.2644  180788.1
4780.7407  180063.8
4782.2170  180421.7
4783.6934  180430.4
4785.1697  180120.6
4786.6460  180330.8
4788.1223  180404.
4789.5987  179800.7
4791.0750  179696.3
4792.5513  180014.5
4794.0276  179970.4
4795.5039  179861.2
4796.9803  180263.6
4798.4566  179522.9
4799.9329  178544.5
4801.4092  178721.
4802.8856  178525.9
4804.3619  177908.9
4805.8382  177905.5
4807.3145  177448.7
4808.7908  177558.5
4810.2672  177410.4
4811.7435  177022.5
4813.2198  176705.9
4814.6961  176825.9
4816.1725  176766.
4817.6488  176187.1
4819.1251  176192.
4820.6014  175066.1
4822.0777  173465.7
4823.5541  172181.7
4825.0304  171383.7
4826.5067  171345.
4827.9830  171048.5
4829.4593  170475.7
4830.9357  169365.7
4832.4120  168424.8
4833.8883  166802.8
4835.3646  165442.
4836.8410  163769.4
4838.3173  161332.3
4839.7936  159983.2
4841.2699  157823.6
4842.7462  154620.5
4844.2226  150974.2
4845.6989  147138.9
4847.1752  142440.4
4848.6515  137447.6
4850.1279  131696.7
4851.6042  125749.5
4853.0805  118765.1
4854.5568  111001.4
4856.0331  101836.5
4857.5095  92074.27
4858.9858  82192.94
4860.4621  74837.47
4861.9384  73680.82
4863.4148  79386.13
4864.8911  88309.55
4866.3674  98025.52
4867.8437  107700.2
4869.3200  115459.2
4870.7964  122086.7
4872.2727  128353.6
4873.7490  134163.4
4875.2253  138955.
4876.7016  142504.
4878.1780  146207.
4879.6543  149755.3
4881.1306  153372.6
4882.6069  155597.2
4884.0833  157549.
4885.5596  158984.4
4887.0359  160125.
4888.5122  161380.6
4889.9885  162570.1
4891.4649  164006.7
4892.9412  165506.7
4894.4175  166984.4
4895.8938  168564.6
4897.3702  169716.5
4898.8465  169795.
4900.3228  169421.4
4901.7991  169845.1
4903.2754  170511.5
4904.7518  170555.1
4906.2281  171210.8
4907.7044  171708.8
4909.1807  171854.4
4910.6571  170629.9
4912.1334  171416.2
4913.6097  172087.5
4915.0860  172862.6
4916.5623  172237.1
4918.0387  171162.6
4919.5150  170066.4
4920.9913  169003.6
4922.4676  168265.2
4923.9439  168207.6
4925.4203  169701.3
4926.8966  171473.8
4928.3729  171989.2
4929.8492  172575.9
4931.3256  172325.6
4932.8019  171449.2
4934.2782  170638.5
4935.7545  171317.3
4937.2308  172042.2
4938.7072  171567.9
4940.1835  171950.7
4941.6598  172553.7
4943.1361  173287.
4944.6125  173516.9
4946.0888  173268.8
4947.5651  172934.3
4949.0414  173298.5
4950.5177  172451.7
4951.9941  172388.
4953.4704  171510.7
4954.9467  170643.3
4956.4230  170024.6
4957.8994  169484.6
4959.3757  170761.3
4960.8520  171971.9
4962.3283  171916.6
4963.8046  171544.2
4965.2810  171526.8
4966.7573  171486.3
4968.2336  171397.7
4969.7099  171163.4
4971.1862  171590.2
4972.6626  171551.7
4974.1389  171590.4
4975.6152  171943.6
4977.0915  171498.
4978.5679  170840.
4980.0442  170082.7
4981.5205  169338.8
4982.9968  168816.7
4984.4731  168822.3
4985.9495  169533.2
4987.4258  170104.5
4988.9021  170424.3
4990.3784  169647.8
4991.8548  168531.6
4993.3311  169080.7
4994.8074  169835.2
4996.2837  169950.8
4997.7600  169464.9
4999.2364  168776.4
5000.7127  167811.
5002.1890  167140.1
5003.6653  166444.4
5005.1417  166308.7
5006.6180  166801.7
5008.0943  167061.5
5009.5706  167631.5
5011.0469  167352.4
5012.5233  166711.4
5013.9996  165800.1
5015.4759  164371.5
5016.9522  162983.7
5018.4285  161849.4
5019.9049  162087.9
5021.3812  163725.5
5022.8575  165150.6
5024.3338  166215.7
5025.8102  166737.6
5027.2865  166675.4
5028.7628  166248.9
5030.2391  165629.2
5031.7154  165505.6
5033.1918  165879.7
5034.6681  165558.1
5036.1444  164523.2
5037.6207  163915.6
5039.0971  163263.6
5040.5734  162738.4
5042.0497  162805.6
5043.5260  163367.2
5045.0023  164365.8
5046.4787  164986.8
5047.9550  164503.1
5049.4313  164327.5
5050.9076  163922.3
5052.3840  163679.2
5053.8603  163352.6
5055.3366  162171.9
5056.8129  161925.1
5058.2892  162831.1
5059.7656  163785.6
5061.2419  164055.3
5062.7182  164251.4
5064.1945  164293.3
5065.6709  163693.4
5067.1472  163320.2
5068.6235  163709.8
5070.0998  163142.1
5071.5761  162432.2
5073.0525  162368.
5074.5288  161853.3
5076.0051  161668.8
5077.4814  162130.2
5078.9577  161758.7
5080.4341  161111.7
5081.9104  160893.7
5083.3867  161197.6
5084.8630  161270.2
5086.3394  161706.9
5087.8157  161912.9
5089.2920  161580.9
5090.7683  161860.3
5092.2446  162357.8
5093.7210  161700.6
5095.1973  161024.5
5096.6736  160570.7
5098.1499  159943.3
5099.6263  159303.8
5101.1026  159533.5
5102.5789  160554.4
5104.0552  160623.3
5105.5315  160730.4
5107.0079  160234.2
5108.4842  160305.3
5109.9605  160175.1
5111.4368  160597.9
5112.9132  160766.7
5114.3895  160727.
5115.8658  160698.2
5117.3421  160568.3
5118.8184  160995.8
5120.2948  160368.3
5121.7711  159927.2
5123.2474  159716.2
5124.7237  159227.8
5126.2000  159058.3
5127.6764  158651.6
5129.1527  158720.7
5130.6290  158133.8
5132.1053  158193.
5133.5817  158342.5
5135.0580  158168.
5136.5343  158096.6
5138.0106  157794.2
5139.4869  157396.
5140.9633  157793.8
5142.4396  157213.6
5143.9159  156772.1
5145.3922  156650.3
5146.8686  156757.8
5148.3449  157095.3
5149.8212  156308.5
5151.2975  156734.1
5152.7738  156892.8
5154.2502  156230.6
5155.7265  156822.1
5157.2028  156714.3
5158.6791  156143.7
5160.1555  156110.9
5161.6318  156189.9
5163.1081  155681.8
5164.5844  154289.9
5166.0607  152037.8
5167.5371  149761.2
5169.0134  148377.4
5170.4897  148713.3
5171.9660  149237.9
5173.4423  150881.7
5174.9187  153499.1
5176.3950  155009.1
5177.8713  155559.5
5179.3476  155230.6
5180.8240  154445.4
5182.3003  152508.6
5183.7766  150618.1
5185.2529  150528.5
5186.7292  152185.
5188.2056  152680.9
5189.6819  152480.5
5191.1582  152381.9
5192.6345  152270.6
5194.1109  152179.
5195.5872  152113.6
5197.0635  151538.6
5198.5398  151614.
5200.0161  152449.
5201.4925  152935.2
5202.9688  152759.3
5204.4451  152035.8
5205.9214  151856.6
5207.3978  152025.2
5208.8741  151899.2
5210.3504  152186.3
5211.8267  153135.6
5213.3030  152388.8
5214.7794  151649.5
5216.2557  151149.6
5217.7320  151373.3
5219.2083  151618.7
5220.6846  152144.5
5222.1610  152382.5
5223.6373  151276.2
5225.1136  149834.4
5226.5899  148217.
5228.0663  147816.6
5229.5426  148740.4
5231.0189  149475.7
5232.4952  148369.2
5233.9715  147432.4
5235.4479  147216.5
5236.9242  147921.9
5238.4005  148698.3
5239.8768  149326.8
5241.3532  149245.1
5242.8295  149060.7
5244.3058  149474.1
5245.7821  149260.1
5247.2584  149081.
5248.7348  149712.9
5250.2111  149254.
5251.6874  148821.
5253.1637  149072.2
5254.6401  148743.4
5256.1164  148264.5
5257.5927  147946.5
5259.0690  148106.2
5260.5453  147449.9
5262.0217  146140.2
5263.4980  145310.1
5264.9743  144906.6
5266.4506  144897.6
5267.9269  145131.
5269.4033  145182.9
5270.8796  144893.2
5272.3559  144695.
5273.8322  144125.8
5275.3086  143702.4
5276.7849  144149.4
5278.2612  144696.
5279.7375  145576.2
5281.2138  145406.2
5282.6902  144136.
5284.1665  144295.2
5285.6428  145503.7
5287.1191  146602.8
5288.5955  146851.8
5290.0718  146842.6
5291.5481  146326.5
5293.0244  146062.8
5294.5007  146407.3
5295.9771  146000.8
5297.4534  145846.8
5298.9297  146058.5
5300.4060  146114.1
5301.8824  145473.4
5303.3587  145057.4
5304.8350  144848.7
5306.3113  144522.4
5307.7876  143969.2
5309.2640  144865.4
5310.7403  145277.4
5312.2166  144126.5
5313.6929  142622.1
5315.1692  141669.5
5316.6456  140777.6
5318.1219  142318.9
5319.5982  142328.2
5321.0745  142337.4
5322.5509  142346.7
5324.0272  142356.
5325.5035  142365.3
5326.9798  142374.6
5328.4561  141150.
5329.9325  141185.3
5331.4088  142363.
5332.8851  142555.6
5334.3614  142367.7
5335.8378  142115.5
5337.3141  141538.3
5338.7904  141440.7
5340.2667  141718.7
5341.7430  141925.8
5343.2194  142802.8
5344.6957  143046.5
5346.1720  143154.2
5347.6483  143461.2
5349.1247  143121.2
5350.6010  142945.
5352.0773  142591.
5353.5536  142719.2
5355.0299  143069.8
5356.5063  142851.5
5357.9826  142771.3
5359.4589  141900.4
5360.9352  141175.5
5362.4116  140369.7
5363.8879  139758.5
5365.3642  140050.9
5366.8405  139988.1
5368.3168  140018.4
5369.7932  139866.9
5371.2695  140296.8
5372.7458  140737.
5374.2221  141303.2
5375.6984  141357.6
5377.1748  141042.3
5378.6511  140689.1
5380.1274  140659.6
5381.6037  140249.7
5383.0801  140030.3
5384.5564  140342.8
5386.0327  140802.8
5387.5090  140506.3
5388.9853  140342.2
5390.4617  140313.1
5391.9380  140617.9
